date,price_forecast,base_dif,base_dif_per,punta_precio,punta_dif,punta_dif_per,request_time
2022-01-07,212.98,32.78,18.19,221.79,34.13,18.19,2022-01-06 06:00:02.260685+00:00
2022-01-08,201.52,0.0,0.0,,,,2022-01-06 06:00:02.260685+00:00
2022-01-09,163.44,0.0,0.0,,,,2022-01-06 06:00:02.260685+00:00
2022-01-10,251.9,-1.1,-0.43,262.32,-1.15,-0.44,2022-01-06 06:00:02.260685+00:00
2022-01-11,251.9,-1.1,-0.43,262.32,-1.15,-0.44,2022-01-06 06:00:02.260685+00:00
2022-01-12,251.9,-1.1,-0.43,262.32,-1.15,-0.44,2022-01-06 06:00:02.260685+00:00
2022-01-13,251.9,-1.1,-0.43,262.32,-1.15,-0.44,2022-01-06 06:00:02.260685+00:00
2022-01-14,251.9,-1.1,-0.43,262.32,-1.15,-0.44,2022-01-06 06:00:02.260685+00:00
2022-01-15,189.67,-0.83,-0.44,,,,2022-01-06 06:00:02.260685+00:00
2022-01-16,153.81,-0.67,-0.43,,,,2022-01-06 06:00:02.260685+00:00
2022-01-17,207.9,-1.1,-0.53,216.5,-1.15,-0.53,2022-01-06 06:00:02.260685+00:00
2022-01-18,207.9,-1.1,-0.53,216.5,-1.15,-0.53,2022-01-06 06:00:02.260685+00:00
2022-01-19,207.9,-1.1,-0.53,216.5,-1.15,-0.53,2022-01-06 06:00:02.260685+00:00
2022-01-20,207.9,-1.1,-0.53,216.5,-1.15,-0.53,2022-01-06 06:00:02.260685+00:00
2022-01-21,207.9,-1.1,-0.53,216.5,-1.15,-0.53,2022-01-06 06:00:02.260685+00:00
2022-01-22,156.54,-0.83,-0.53,,,,2022-01-06 06:00:02.260685+00:00
2022-01-23,126.94,-0.67,-0.53,,,,2022-01-06 06:00:02.260685+00:00
2022-01-24,254.27,-1.1,-0.43,264.79,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-01-25,254.27,-1.1,-0.43,264.79,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-01-26,254.27,-1.1,-0.43,264.79,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-01-27,254.27,-1.1,-0.43,264.79,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-01-28,254.27,-1.1,-0.43,264.79,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-01-29,191.45,-0.82,-0.43,,,,2022-01-06 06:00:02.260685+00:00
2022-01-30,155.25,-0.68,-0.44,,,,2022-01-06 06:00:02.260685+00:00
2022-01-31,255.99,-1.09,-0.42,266.58,-1.14,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-01,255.99,-1.09,-0.42,266.58,-1.14,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-02,255.99,-1.09,-0.42,266.58,-1.14,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-03,255.99,-1.09,-0.42,266.58,-1.14,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-04,255.99,-1.09,-0.42,266.58,-1.14,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-05,192.73,-0.83,-0.43,,,,2022-01-06 06:00:02.260685+00:00
2022-02-06,156.3,-0.68,-0.43,,,,2022-01-06 06:00:02.260685+00:00
2022-02-07,256.39,-1.1,-0.43,267.0,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-08,256.39,-1.1,-0.43,267.0,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-09,256.39,-1.1,-0.43,267.0,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-10,256.39,-1.1,-0.43,267.0,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-11,256.39,-1.1,-0.43,267.0,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-12,193.03,-0.83,-0.43,,,,2022-01-06 06:00:02.260685+00:00
2022-02-13,156.55,-0.67,-0.43,,,,2022-01-06 06:00:02.260685+00:00
2022-02-14,256.39,-1.1,-0.43,267.0,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-15,256.39,-1.1,-0.43,267.0,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-16,256.39,-1.1,-0.43,267.0,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-17,256.39,-1.1,-0.43,267.0,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-18,256.39,-1.1,-0.43,267.0,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-19,193.03,-0.83,-0.43,,,,2022-01-06 06:00:02.260685+00:00
2022-02-20,156.55,-0.67,-0.43,,,,2022-01-06 06:00:02.260685+00:00
2022-02-21,256.39,-1.1,-0.43,267.0,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-22,256.39,-1.1,-0.43,267.0,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-23,256.39,-1.1,-0.43,267.0,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-24,256.39,-1.1,-0.43,267.0,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-25,256.39,-1.1,-0.43,267.0,-1.15,-0.43,2022-01-06 06:00:02.260685+00:00
2022-02-26,193.03,-0.83,-0.43,,,,2022-01-06 06:00:02.260685+00:00
2022-02-27,156.55,-0.67,-0.43,,,,2022-01-06 06:00:02.260685+00:00
