price_date;base_precio;base_dif;base_dif_per;punta_precio;punta_dif;punta_dif_per;emission_date;create_time
Day 22-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 23-Jul-2022;135.1;-19.79;-12.78;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 24-Jul-2022;119.48;-17.51;-12.78;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 25-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 26-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 27-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 28-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 29-Jul-2022;149.22;-21.86;-12.78;150.62;-22.07;-12.78;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 30-Jul-2022;135.1;-19.79;-12.78;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Day 31-Jul-2022;119.48;-17.51;-12.78;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Weekend 23-2022;175.07;0.0;0.0;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Weekend 24-2022;141.97;-19.14;-11.88;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Weekend 25-2022;141.85;-19.15;-11.89;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Weekend 26-2022;139.19;-19.14;-12.09;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Week 24-2022;159.43;-21.5;-11.88;168.45;-22.72;-11.88;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Week 25-2022;159.31;-21.5;-11.89;168.33;-22.72;-11.89;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Week 26-2022;156.32;-21.5;-12.09;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Week 27-2022;143.54;-21.5;-13.03;;;;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Month Jul-2022;143.5;-21.0;-12.77;151.62;-22.19;-12.77;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Month Aug-2022;140.5;-9.5;-6.33;148.45;-10.04;-6.33;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Month Sep-2022;142.0;-11.3;-7.37;150.04;-11.94;-7.37;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Month Oct-2022;140.0;-13.39;-8.73;147.92;-14.15;-8.73;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Month Nov-2022;134.89;-10.53;-7.24;142.52;-11.13;-7.24;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Month Dec-2022;140.49;-10.54;-6.98;148.44;-11.14;-6.98;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
Quarter 3-2022;142.0;-13.96;-8.95;150.04;-14.75;-8.95;THURSDAY, 9 JUNE, 2022;2022-06-10 13:10:11.722748+00:00
